address,field_number,field_name,value,confidence,notes,sources,last_updated,updated_by
"",1,full_address,"","","","","",""
"",2,mls_primary,"","","","","",""
"",3,mls_secondary,"","","","","",""
"",4,listing_status,"","","","","",""
"",5,listing_date,"","","","","",""
"",6,listing_price,"","","","","",""
"",7,price_per_sqft,"","","","","",""
"",8,bedrooms,"","","","","",""
"",9,full_bathrooms,"","","","","",""
"",10,half_bathrooms,"","","","","",""
"",11,total_bathrooms,"","","","","",""
"",12,living_sqft,"","","","","",""
"",13,total_sqft_under_roof,"","","","","",""
"",14,lot_size_sqft,"","","","","",""
"",15,lot_size_acres,"","","","","",""
"",16,year_built,"","","","","",""
"",17,property_type,"","","","","",""
"",18,stories,"","","","","",""
"",19,garage_spaces,"","","","","",""
"",20,parking_total,"","","","","",""
"",21,hoa_yn,"","","","","",""
"",22,hoa_fee_annual,"","","","","",""
"",23,annual_taxes,"","","","","",""
"",24,tax_year,"","","","","",""
"",25,assessed_value,"","","","","",""
"",26,market_value_estimate,"","","","","",""
"",27,last_sale_date,"","","","","",""
"",28,last_sale_price,"","","","","",""
"",29,ownership_type,"","","","","",""
"",30,parcel_id,"","","","","",""
"",31,roof_type,"","","","","",""
"",32,roof_age_est,"","","","","",""
"",33,exterior_material,"","","","","",""
"",34,foundation,"","","","","",""
"",35,hvac_type,"","","","","",""
"",36,hvac_age,"","","","","",""
"",37,flooring_type,"","","","","",""
"",38,kitchen_features,"","","","","",""
"",39,appliances_included,"","","","","",""
"",40,fireplace_yn,"","","","","",""
"",41,pool_yn,"","","","","",""
"",42,pool_type,"","","","","",""
"",43,deck_patio,"","","","","",""
"",44,fence,"","","","","",""
"",45,landscaping,"","","","","",""
"",46,recent_renovations,"","","","","",""
"",47,permit_history_roof,"","","","","",""
"",48,permit_history_hvac,"","","","","",""
"",49,permit_history_pool_additions,"","","","","",""
"",50,interior_condition,"","","","","",""
"",51,assigned_elementary,"","","","","",""
"",52,elementary_rating,"","","","","",""
"",53,elementary_distance_miles,"","","","","",""
"",54,assigned_middle,"","","","","",""
"",55,middle_rating,"","","","","",""
"",56,middle_distance_miles,"","","","","",""
"",57,assigned_high,"","","","","",""
"",58,high_rating,"","","","","",""
"",59,high_distance_miles,"","","","","",""
"",60,walk_score,"","","","","",""
"",61,transit_score,"","","","","",""
"",62,bike_score,"","","","","",""
"",63,distance_grocery_miles,"","","","","",""
"",64,distance_hospital_miles,"","","","","",""
"",65,distance_airport_miles,"","","","","",""
"",66,distance_park_miles,"","","","","",""
"",67,distance_beach_miles,"","","","","",""
"",68,crime_index_violent,"","","","","",""
"",69,crime_index_property,"","","","","",""
"",70,neighborhood_safety_rating,"","","","","",""
"",71,noise_level,"","","","","",""
"",72,traffic_level,"","","","","",""
"",73,walkability_description,"","","","","",""
"",74,commute_time_city_center,"","","","","",""
"",75,public_transit_access,"","","","","",""
"",76,annual_property_tax,"","","","","",""
"",77,tax_exemptions,"","","","","",""
"",78,property_tax_rate,"","","","","",""
"",79,recent_tax_payment_history,"","","","","",""
"",80,median_home_price_neighborhood,"","","","","",""
"",81,price_per_sqft_recent_avg,"","","","","",""
"",82,days_on_market_avg,"","","","","",""
"",83,inventory_surplus,"","","","","",""
"",84,rental_estimate_monthly,"","","","","",""
"",85,rental_yield_est,"","","","","",""
"",86,vacancy_rate_neighborhood,"","","","","",""
"",87,cap_rate_est,"","","","","",""
"",88,insurance_est_annual,"","","","","",""
"",89,financing_terms,"","","","","",""
"",90,comparable_sales_last3,"","","","","",""
"",91,electric_provider,"","","","","",""
"",92,water_provider,"","","","","",""
"",93,sewer_provider,"","","","","",""
"",94,natural_gas,"","","","","",""
"",95,internet_providers_top3,"","","","","",""
"",96,max_internet_speed,"","","","","",""
"",97,cable_tv_provider,"","","","","",""
"",98,air_quality_index_current,"","","","","",""
"",99,flood_zone,"","","","","",""
"",100,flood_risk_level,"","","","","",""
"",101,climate_risk_wildfire_flood,"","","","","",""
"",102,noise_level_db_est,"","","","","",""
"",103,solar_potential,"","","","","",""
"",104,ev_charging_yn,"","","","","",""
"",105,smart_home_features,"","","","","",""
"",106,accessibility_mods,"","","","","",""
"",107,pet_policy,"","","","","",""
"",108,age_restrictions,"","","","","",""
"",109,special_assessments,"","","","","",""
"",110,notes_confidence_summary,"","","","","",""
